stenutz_name,cosmo_name,cas_number,chemical_formula,molecular_weight,density,molar_volume,refractive_index,molecular_refractive_power,dielectric_constant,dipole_moment,melting_point,boiling_point,viscosity,partition_coefficient,vapour_pressure,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
cyclohexyl acetate,aceticacidcyclohexylester,622-45-7,C8H14O2,142,0.97,146.6,1.442,38.79,5.08,1.9,-65,172,1.56,2.31,0.56,0.7269,14.9099,1.1737,0.3232,0.9139
cyclooctane,aceticacidcyclohexylester,292-64-8,C8H16,112,0.834,134.6,1.459,36.78,2.12,0,15,149,0.78,3.86,19.58,0.0283,16.9292,1.7335,0,1.8597
cyclooctatetraene,cyclooctane,629-20-9,C8H8,104,0.918,113.5,1.538,35.49,2.46,0.07,-5,141,1.18,2.5,6.04,0,16.2083,0,0,0.0239
cyclopentane,"1,3,5,7-cyclooctatetraene",287-92-3,C5H10,70,0.745,94.1,1.406,23.13,1.84,0,-94,49,0.32,2.81,737.31,0.0048,14.7395,0.207,0,3.2517
cyclopentanone,cyclopentanone,120-92-3,C5H8O,84,0.95,88.5,1.437,23.2,14.45,3.28,-58,131,0.71,0.33,23.49,0.0049,10.7803,1.6632,0,2.1009
d-carvone,carvon,2244-16-8  ,C10H14O,150,0.961,156.3,1.497,45.74,11,3.17,89,230,2.7,2.01,0.06,0.0146,18.3916,1.6312,0,3.347
decane,n-decane,124-18-5,C10H22,142,0.73,194.9,1.408,48.08,1.95,0.07,-30,174,0.95,5.99,2.93,0,23.6676,0,0,0.0747
decanol,1-decanol,112-30-1,C10H22O,158,0.83,190.8,1.437,49.98,8.1,1.6,6,233,15.92,4.15,0.01,0.7255,22.8473,1.1716,0.3214,0.9238
di-n-butyl sulfide,di-n-butylsulfide,544-40-1,C8H18S,146,0.839,174.4,1.453,47.13,4.41,1.59,-80,189,0.93,4.36,1.06,0,21.1341,0.7955,0,1.225
dibenzofuran,dibenzofuran,132-64-9,C12H8O,168,1.089,154.5,1.608,53.42,3,0.86,82,285,4.71,3.69,0.02,0.2262,19.4984,0.11,0,4.5789
